41,07;25,29;15,78;7,32;52,16;-6,69;58;38,66;-20,75;-39,2;57,03;-24,91;-43,37;-14,17;-35,56;118,94;7,36;16,64;22,02;2,76;18,67;6,41;-0,27;80,27;-1,05;-59,88;-20,68;0
57,7;42,64;15,06;1,9;47,81;-15,03;73,5;60,22;-51,95;-72;73,5;-51,95;-72;18;3,65;132,07;3,77;17,87;12,65;3,76;25,52;5,58;0,38;129,7;-0,8;-69,79;2,2;0
64,1;49,13;14,97;5,6;33,85;20,78;46,4;34,81;-48,08;-58,44;46,4;-52,36;-62,72;44,44;80,55;135,27;0,4;6,15;25,25;6,87;0,11;6,27;1,31;122,54;-1,1;-73,6;-15,16;0
44,62;35,63;8,99;1,63;31,93;-24,62;55,26;46,34;-49,95;-57,29;55,26;-49,95;-57,29;34,28;25,97;122,52;0,41;9,81;21,95;4,34;14,68;19,38;1,07;101,9;-0,78;-62;-4,71;0
52,1;26,19;25,91;7,69;64,87;-7,43;47,56;32,96;-43,69;-45,55;47,56;-43,69;-45,55;-0,35;-23,79;118,32;7,81;15,54;12,09;-3,22;14,5;18,67;-0,01;97,66;-1,14;-66,46;-20,9;0
52,28;38,63;13,65;0,27;34,78;-5,96;41,69;37,6;-40,19;-54,19;41,69;-40,19;-54,19;28,49;15,01;126,16;1,47;6,62;5,6;1,3;19,13;4,63;0,82;106,47;-0,96;-66,56;-12,37;0
59,16;39,57;19,59;3,66;52,89;-11,41;28,96;28,37;-44,23;-54,55;28,96;-44,23;-54,55;16,98;-14,59;128,66;4,42;10,5;24,89;1,14;2,77;20,3;0,32;113,71;-1,08;-70,66;-16,11;0
82,63;59,23;23,4;2,15;55,13;-22,18;64,77;53,3;-87,84;-78,57;63,81;-92,25;-82,97;36,17;2,09;145,15;3,19;11,41;20,46;0,6;16,19;2,5;0,66;161,19;-1,05;-84,64;-6,08;0
46,63;24,05;22,58;4,83;51,76;-17,79;52,22;43,25;-21,51;-37,87;47,73;-27,07;-43,43;2,17;-41,57;115,59;7;17,66;18,31;3,12;7,72;9,44;0,04;84,5;-1,23;-63,2;-25,33;0
62,38;42,08;20,3;6,39;43,96;-21,82;53,91;30,96;-51,58;-63,88;30,96;-51,58;-63,88;-4,61;1,04;133,98;6,21;13,91;5,9;0,42;0,59;7,7;-0,1;126,26;-0,98;-72,58;-8,7;0
30,4;13,94;16,46;0,12;57,71;-9,19;24,58;25,96;-8,92;-22,57;24,58;-8,92;-22,57;6,4;-38,83;105,19;5,16;9,65;17,4;-3,57;12,24;9,29;0,11;52,96;-1,35;-53,53;-30,96;0
43,63;24,29;19,34;2,86;45,59;3,33;47,76;48,22;-32,55;-39,95;47,76;-32,55;-39,95;28,48;3,06;112,17;2,95;10,23;24,83;0,78;2,62;15,08;0,62;83,58;-1,09;-61,41;-21,45;0
56,38;42,67;13,72;14,67;44,57;-11,11;43,33;35,49;-40,37;-57,15;43,33;-40,37;-57,15;27,63;-7,34;130,55;2,33;7,74;14,76;1,72;5,57;3,41;0,62;113,53;-0,99;-69,01;-11,86;0
39,81;33,7;6,1;4,28;24,82;-6,7;40,78;28,36;-21,32;-45,26;40,78;-21,32;-45,26;0,6;31,56;125,56;3,81;10,45;13,62;2,1;16,51;10,02;0,02;85,07;-0,88;-59,13;-13,87;0
84,54;55,24;29,29;3,61;58,53;-7,38;67,5;35,48;-71,66;-85,13;67,5;-71,66;-85,13;-22,66;-39,21;149,16;9,75;15,62;19,1;3,56;2,23;17,05;-0,39;169,66;-0,99;-85,78;-0,65;0
45,71;30,92;14,8;0,99;43,72;-22,99;62,11;55,58;-38,48;-57,3;68,07;-42,75;-61,58;28,51;19,1;118,56;2,8;16,01;13,08;2,82;20,61;15,13;0,65;103,01;-0,8;-62,65;-5,35;0
58,27;32,08;26,19;2,42;62,6;-9,48;39,36;47,29;-46,32;-45,69;39,36;-46,32;-45,69;80,65;44,04;113,2;-0,73;6,94;0,2;4,13;3,93;16,45;1,29;103,96;-1,28;-70,13;-24,44;0
55,28;35,53;19,76;3,47;45,36;-36,38;81,68;56,39;-61,19;-68,18;77,63;-62,9;-69,9;-31,33;-56,1;131,17;10,11;21,04;9,19;-5,67;9,82;11,38;-0,69;123,47;-0,81;-68,35;-0,17;0
65,03;43,76;21,27;7,57;42,01;-37,1;45,55;36,44;-46,11;-53,33;45,55;-46,11;-53,33;103,16;71;121,01;-6,03;3,11;19,19;8,51;45,85;7,56;2,46;118,36;-1,22;-74,16;-20,83;0
57,56;44,69;12,87;5,18;37,5;-4,44;66,22;44,37;-53,63;-68,98;64,35;-56,31;-71,67;-5,75;1,42;136,95;5,41;13,84;16,86;0,3;12,67;7,37;-0,15;126,54;-0,83;-69,71;-0,72;0
46,57;25,55;21,01;0,45;47,17;-9,47;52,19;47,78;-36,64;-41,04;52,19;-36,64;-41,04;14,92;-6,34;115,63;5,72;12,78;33,29;2,58;28,39;10,46;0,32;87,61;-1,13;-63,16;-22,12;0
43,94;40,77;3,18;0,63;17,95;-14,96;52,84;54,53;-57,45;-68,97;54,98;-57,71;-69,23;-9,13;-16,11;133,47;3,77;11,4;6,83;-1,06;5,31;5,87;-0,51;112,91;-0,64;-61,6;7,37;0
68,89;57,49;11,4;1,64;28,65;-7,39;40,1;33,84;-62,58;-71,45;37,72;-67,71;-76,59;20,79;31,33;146,29;1,87;6,13;21,57;3,29;25,6;9,47;0,73;140,34;-0,96;-76,46;-5,01;0
52,82;24,76;28,06;0,09;64,67;-3,39;49,48;41,38;-31,69;-38,84;49,48;-31,69;-38,84;62,5;26,93;107,48;0,45;14,56;31,1;5,57;36,32;41,03;0,97;91,66;-1,36;-66,88;-28,04;0
52;29,12;22,88;2,01;54,4;-5,15;35,34;18,62;-30,74;-35,47;37,17;-35,27;-40;-0,07;-48,23;120,69;6,39;9,93;20,36;4,13;0,33;14,73;0;87,48;-1,47;-66,4;-30,93;0
48,54;26,13;22,41;0,47;50,72;-14,97;44,06;49,48;-36,99;-52,39;48,19;-36,99;-52,39;-19,25;-60,97;120,76;8,96;20,42;40,23;4,44;10,53;13,26;-0,38;100,93;-0,93;-64,34;-11,95;0
40,6;32,99;7,61;3,7;34,98;-7,87;51,46;39,77;-31,63;-45,93;52,57;-35,09;-49,39;18,38;13,84;122,23;1,98;8,52;29,3;1,68;0,83;7,39;0,53;86,52;-0,88;-59,6;-13,67;0
67,48;39,72;27,76;0,11;60,74;-4,29;47,36;35,96;-54,5;-62,85;45,66;-55,63;-63,98;6,1;-37,7;130,61;7,46;14,16;25,82;5,14;27,12;4,01;0,1;130,33;-1,07;-75,62;-12,77;0
